dataset,source_dir,best_macro_epoch,accuracy,balanced_accuracy,macro_f1,ece,uncertainty_risk_auc,num_samples
HF FER2013,outputs/fer2013,24,0.7059069378657008,0.6832245474662665,0.6863696467242667,0.3745653839991032,0.22545094766939178,7178
RAF-DB Basic,outputs/RAF-DB,28,0.8777705345501956,0.8045144056544054,0.8115894621744404,0.3909837582344104,0.05089994369870698,3068
