ts,stage,epoch,step,loss
"2026-07-02 17:13:01,543",1,6,180,0.9116
"2026-07-02 17:13:02,358",1,6,200,0.9128
"2026-07-02 17:13:03,237",1,6,220,0.9105
"2026-07-02 17:13:04,117",1,6,240,0.9129
"2026-07-02 17:13:04,999",1,6,260,0.9134
"2026-07-02 17:13:05,879",1,6,280,0.9114
"2026-07-02 17:13:06,758",1,6,300,0.9125
"2026-07-02 17:13:07,638",1,6,320,0.9127
"2026-07-02 17:13:08,517",1,6,340,0.9128
"2026-07-02 17:13:09,398",1,6,360,0.9127
"2026-07-02 17:13:10,277",1,6,380,0.9139
"2026-07-02 17:13:11,157",1,6,400,0.9153
"2026-07-02 17:13:12,036",1,6,420,0.9168
"2026-07-02 17:13:12,916",1,6,440,0.9184
"2026-07-02 17:13:14,529",1,7,20,0.9272
"2026-07-02 17:13:15,319",1,7,40,0.9264
"2026-07-02 17:13:16,125",1,7,60,0.9364
"2026-07-02 17:13:17,004",1,7,80,0.9216
"2026-07-02 17:13:17,885",1,7,100,0.9203
"2026-07-02 17:13:18,765",1,7,120,0.92
"2026-07-02 17:13:19,640",1,7,140,0.9192
"2026-07-02 17:13:20,519",1,7,160,0.9165
"2026-07-02 17:13:21,398",1,7,180,0.9103
"2026-07-02 17:13:22,277",1,7,200,0.9061
"2026-07-02 17:13:23,119",1,7,220,0.9073
"2026-07-02 17:13:23,988",1,7,240,0.911
"2026-07-02 17:13:24,860",1,7,260,0.9116
"2026-07-02 17:13:25,742",1,7,280,0.9112
"2026-07-02 17:13:26,617",1,7,300,0.9139
"2026-07-02 17:13:27,496",1,7,320,0.9148
"2026-07-02 17:13:28,363",1,7,340,0.9137
"2026-07-02 17:13:29,242",1,7,360,0.9156
"2026-07-02 17:13:30,122",1,7,380,0.9126
"2026-07-02 17:13:31,001",1,7,400,0.9119
"2026-07-02 17:13:31,881",1,7,420,0.9119
"2026-07-02 17:13:32,760",1,7,440,0.9115
"2026-07-02 17:13:34,374",1,8,20,0.9329
"2026-07-02 17:13:35,101",1,8,40,0.9274
"2026-07-02 17:13:35,866",1,8,60,0.9277
"2026-07-02 17:13:36,664",1,8,80,0.9171
"2026-07-02 17:13:37,469",1,8,100,0.9201
"2026-07-02 17:13:38,343",1,8,120,0.9192
"2026-07-02 17:13:39,222",1,8,140,0.9191
"2026-07-02 17:13:40,096",1,8,160,0.9217
"2026-07-02 17:13:40,977",1,8,180,0.9216
"2026-07-02 17:13:41,856",1,8,200,0.923
"2026-07-02 17:13:42,736",1,8,220,0.9197
"2026-07-02 17:13:43,617",1,8,240,0.9158
"2026-07-02 17:13:44,498",1,8,260,0.9152
"2026-07-02 17:13:45,379",1,8,280,0.9117
"2026-07-02 17:13:46,260",1,8,300,0.9101
"2026-07-02 17:13:47,138",1,8,320,0.9055
"2026-07-02 17:13:48,016",1,8,340,0.9068
"2026-07-02 17:13:48,896",1,8,360,0.9071
"2026-07-02 17:13:49,777",1,8,380,0.9046
"2026-07-02 17:13:50,622",1,8,400,0.9043
"2026-07-02 17:13:51,482",1,8,420,0.9045
"2026-07-02 17:13:52,361",1,8,440,0.9038
"2026-07-02 17:13:53,976",1,9,20,0.8816
"2026-07-02 17:13:54,776",1,9,40,0.8881
"2026-07-02 17:13:55,655",1,9,60,0.8883
"2026-07-02 17:13:56,536",1,9,80,0.8922
"2026-07-02 17:13:57,418",1,9,100,0.9025
"2026-07-02 17:13:58,298",1,9,120,0.9063
"2026-07-02 17:13:59,180",1,9,140,0.9108
"2026-07-02 17:14:00,062",1,9,160,0.9031
"2026-07-02 17:14:00,944",1,9,180,0.899
"2026-07-02 17:14:01,824",1,9,200,0.8982
"2026-07-02 17:14:02,703",1,9,220,0.8968
"2026-07-02 17:14:03,568",1,9,240,0.8951
"2026-07-02 17:14:04,448",1,9,260,0.8963
"2026-07-02 17:14:05,328",1,9,280,0.8977
"2026-07-02 17:14:06,207",1,9,300,0.8995
"2026-07-02 17:14:07,085",1,9,320,0.9001
"2026-07-02 17:14:07,965",1,9,340,0.8995
"2026-07-02 17:14:08,844",1,9,360,0.9
"2026-07-02 17:14:09,723",1,9,380,0.8983
"2026-07-02 17:14:10,602",1,9,400,0.8992
"2026-07-02 17:14:11,481",1,9,420,0.8991
"2026-07-02 17:14:12,358",1,9,440,0.8995
"2026-07-02 17:14:13,978",1,10,20,0.9007
"2026-07-02 17:14:14,771",1,10,40,0.8693
"2026-07-02 17:14:15,569",1,10,60,0.8834
"2026-07-02 17:14:16,374",1,10,80,0.8975
"2026-07-02 17:14:17,141",1,10,100,0.8992
"2026-07-02 17:14:17,924",1,10,120,0.8969
"2026-07-02 17:14:18,735",1,10,140,0.8954
"2026-07-02 17:14:19,611",1,10,160,0.8943
"2026-07-02 17:14:20,487",1,10,180,0.8958
"2026-07-02 17:14:21,365",1,10,200,0.8934
"2026-07-02 17:14:22,244",1,10,220,0.8952
"2026-07-02 17:14:23,123",1,10,240,0.8962
"2026-07-02 17:14:24,004",1,10,260,0.8956
"2026-07-02 17:14:24,884",1,10,280,0.8952
"2026-07-02 17:14:25,764",1,10,300,0.8959
"2026-07-02 17:14:26,645",1,10,320,0.8959
"2026-07-02 17:14:27,517",1,10,340,0.8951
"2026-07-02 17:14:28,397",1,10,360,0.8959
"2026-07-02 17:14:29,235",1,10,380,0.8968
"2026-07-02 17:14:30,103",1,10,400,0.8969
"2026-07-02 17:14:30,983",1,10,420,0.8963
"2026-07-02 17:14:31,864",1,10,440,0.896
"2026-07-02 17:14:33,480",1,11,20,0.9277
"2026-07-02 17:14:34,270",1,11,40,0.8855
"2026-07-02 17:14:35,080",1,11,60,0.8702
"2026-07-02 17:14:35,960",1,11,80,0.8802
"2026-07-02 17:14:36,840",1,11,100,0.8746
"2026-07-02 17:14:37,702",1,11,120,0.8792
"2026-07-02 17:14:38,584",1,11,140,0.8805
"2026-07-02 17:14:39,390",1,11,160,0.8832
"2026-07-02 17:14:40,114",1,11,180,0.8814
"2026-07-02 17:14:40,836",1,11,200,0.8826
"2026-07-02 17:14:41,557",1,11,220,0.8829
"2026-07-02 17:14:42,305",1,11,240,0.8844
"2026-07-02 17:14:43,102",1,11,260,0.8822
"2026-07-02 17:14:43,899",1,11,280,0.8827
"2026-07-02 17:14:44,699",1,11,300,0.8846
"2026-07-02 17:14:45,485",1,11,320,0.8848
"2026-07-02 17:14:46,207",1,11,340,0.8866
"2026-07-02 17:14:46,930",1,11,360,0.8886
"2026-07-02 17:14:47,650",1,11,380,0.8884
"2026-07-02 17:14:48,387",1,11,400,0.8902
"2026-07-02 17:14:49,177",1,11,420,0.8882
"2026-07-02 17:14:49,971",1,11,440,0.8912
"2026-07-02 17:14:51,539",1,12,20,0.856
"2026-07-02 17:14:52,319",1,12,40,0.8873
"2026-07-02 17:14:53,114",1,12,60,0.8913
"2026-07-02 17:14:53,923",1,12,80,0.8891
"2026-07-02 17:14:54,791",1,12,100,0.8977
"2026-07-02 17:14:55,668",1,12,120,0.8941
"2026-07-02 17:14:56,540",1,12,140,0.8845
"2026-07-02 17:14:57,415",1,12,160,0.89
"2026-07-02 17:14:58,290",1,12,180,0.8886
"2026-07-02 17:14:59,165",1,12,200,0.8895
"2026-07-02 17:15:00,038",1,12,220,0.8891
"2026-07-02 17:15:00,910",1,12,240,0.8873
"2026-07-02 17:15:01,769",1,12,260,0.8864
"2026-07-02 17:15:02,646",1,12,280,0.887
"2026-07-02 17:15:03,523",1,12,300,0.887
"2026-07-02 17:15:04,403",1,12,320,0.8876
"2026-07-02 17:15:05,281",1,12,340,0.8896
"2026-07-02 17:15:06,149",1,12,360,0.8893
"2026-07-02 17:15:07,028",1,12,380,0.8907
"2026-07-02 17:15:07,907",1,12,400,0.8921
"2026-07-02 17:15:08,786",1,12,420,0.8893
"2026-07-02 17:15:09,664",1,12,440,0.8871
"2026-07-02 17:15:11,271",1,13,20,0.8662
"2026-07-02 17:15:11,991",1,13,40,0.8662
"2026-07-02 17:15:12,713",1,13,60,0.881
"2026-07-02 17:15:13,433",1,13,80,0.8688
"2026-07-02 17:15:14,165",1,13,100,0.8687
"2026-07-02 17:15:14,957",1,13,120,0.8711
"2026-07-02 17:15:15,756",1,13,140,0.8725
"2026-07-02 17:15:16,555",1,13,160,0.8769
"2026-07-02 17:15:17,357",1,13,180,0.8768
"2026-07-02 17:15:18,155",1,13,200,0.8836
"2026-07-02 17:15:18,983",1,13,220,0.8829
"2026-07-02 17:15:19,817",1,13,240,0.8824
"2026-07-02 17:15:20,614",1,13,260,0.8849
"2026-07-02 17:15:21,475",1,13,280,0.883
"2026-07-02 17:15:22,356",1,13,300,0.8816
"2026-07-02 17:15:23,234",1,13,320,0.8834
"2026-07-02 17:15:24,112",1,13,340,0.882
"2026-07-02 17:15:24,990",1,13,360,0.8813
"2026-07-02 17:15:25,870",1,13,380,0.8813
"2026-07-02 17:15:26,744",1,13,400,0.8808
"2026-07-02 17:15:27,611",1,13,420,0.8817
"2026-07-02 17:15:28,476",1,13,440,0.8828
"2026-07-02 17:15:30,090",1,14,20,0.8564
"2026-07-02 17:15:30,880",1,14,40,0.8722
"2026-07-02 17:15:31,679",1,14,60,0.8835
"2026-07-02 17:15:32,520",1,14,80,0.8856
"2026-07-02 17:15:33,353",1,14,100,0.8864
"2026-07-02 17:15:34,191",1,14,120,0.8785
"2026-07-02 17:15:35,029",1,14,140,0.8742
"2026-07-02 17:15:35,866",1,14,160,0.8748
"2026-07-02 17:15:36,705",1,14,180,0.8772
"2026-07-02 17:15:37,574",1,14,200,0.8728
"2026-07-02 17:15:38,452",1,14,220,0.8721
"2026-07-02 17:15:39,329",1,14,240,0.8706
"2026-07-02 17:15:40,208",1,14,260,0.8671
"2026-07-02 17:15:41,085",1,14,280,0.8681
"2026-07-02 17:15:41,964",1,14,300,0.8704
"2026-07-02 17:15:42,842",1,14,320,0.8702
"2026-07-02 17:15:43,721",1,14,340,0.8697
"2026-07-02 17:15:44,600",1,14,360,0.8705
"2026-07-02 17:15:45,484",1,14,380,0.8743
"2026-07-02 17:15:46,340",1,14,400,0.8769
"2026-07-02 17:15:47,161",1,14,420,0.8775
"2026-07-02 17:15:47,961",1,14,440,0.8783
"2026-07-02 17:15:49,530",1,15,20,0.8534
"2026-07-02 17:15:50,260",1,15,40,0.8679
"2026-07-02 17:15:51,056",1,15,60,0.8771
"2026-07-02 17:15:51,857",1,15,80,0.8779
"2026-07-02 17:15:52,660",1,15,100,0.8759
"2026-07-02 17:15:53,474",1,15,120,0.878
"2026-07-02 17:15:54,269",1,15,140,0.8748
"2026-07-02 17:15:55,067",1,15,160,0.8686
"2026-07-02 17:15:55,866",1,15,180,0.8698
"2026-07-02 17:15:56,711",1,15,200,0.87
"2026-07-02 17:15:57,591",1,15,220,0.8675
"2026-07-02 17:15:58,381",1,15,240,0.8677
"2026-07-02 17:15:59,128",1,15,260,0.869
"2026-07-02 17:15:59,926",1,15,280,0.8706
"2026-07-02 17:16:00,735",1,15,300,0.8697
"2026-07-02 17:16:01,604",1,15,320,0.8747
"2026-07-02 17:16:02,401",1,15,340,0.8758
"2026-07-02 17:16:03,158",1,15,360,0.8746
"2026-07-02 17:16:03,936",1,15,380,0.8757
"2026-07-02 17:16:04,750",1,15,400,0.8766
"2026-07-02 17:16:05,631",1,15,420,0.8753
"2026-07-02 17:16:06,513",1,15,440,0.8753
"2026-07-02 17:16:08,116",1,16,20,0.8426
"2026-07-02 17:16:08,917",1,16,40,0.8758
"2026-07-02 17:16:09,729",1,16,60,0.8678
"2026-07-02 17:16:10,525",1,16,80,0.8692
"2026-07-02 17:16:11,322",1,16,100,0.8715
"2026-07-02 17:16:12,119",1,16,120,0.8789
"2026-07-02 17:16:12,917",1,16,140,0.8728
"2026-07-02 17:16:13,706",1,16,160,0.8734
"2026-07-02 17:16:14,503",1,16,180,0.8687
"2026-07-02 17:16:15,300",1,16,200,0.8693
"2026-07-02 17:16:16,133",1,16,220,0.8732
"2026-07-02 17:16:17,012",1,16,240,0.8733
"2026-07-02 17:16:17,890",1,16,260,0.875
"2026-07-02 17:16:18,766",1,16,280,0.8731
"2026-07-02 17:16:19,644",1,16,300,0.8744
"2026-07-02 17:16:20,524",1,16,320,0.8763
"2026-07-02 17:16:21,404",1,16,340,0.8744
"2026-07-02 17:16:22,285",1,16,360,0.875
"2026-07-02 17:16:23,164",1,16,380,0.8727
"2026-07-02 17:16:24,045",1,16,400,0.8724
